sbu_cd,store_num,invoice_date,day_date,c445_wk_num,c445_prd_num,c445_qtr_num,c445_yr_num,total_pos,total_pos_taxes
CTR,212,08/22/2020,08/22/2020,34,8,3,2020,3844.98,4037.24
CTR,212,08/28/2020,08/28/2020,35,9,3,2020,2054.56,2157.28
CTR,212,08/31/2020,08/31/2020,36,9,3,2020,3097.56,3135.84
CTR,212,09/01/2020,09/01/2020,36,9,3,2020,3329.24,3555.92
CTR,212,09/02/2020,09/02/2020,36,9,3,2020,722.71,758.85
CTR,212,09/03/2020,09/03/2020,36,9,3,2020,1032.22,1083.83
CTR,212,09/04/2020,09/04/2020,36,9,3,2020,5639.44,5977.81
CTR,212,09/06/2020,09/06/2020,37,9,3,2020,2667.49,2800.87
CTR,212,09/09/2020,09/09/2020,37,9,3,2020,4541.04,4775.6
CTR,212,09/14/2020,09/14/2020,38,9,3,2020,2852.25,2994.85
CTR,212,09/25/2020,09/25/2020,39,9,3,2020,2430.19,2551.71
CTR,212,09/27/2020,09/27/2020,40,10,4,2020,1204.72,1264.97
CTR,212,10/04/2020,10/04/2020,41,10,4,2020,4197.37,4407.25
CTR,212,10/05/2020,10/05/2020,41,10,4,2020,2371.55,2490.13
CTR,212,10/06/2020,10/06/2020,41,10,4,2020,10382.09,10901.2
CTR,212,10/08/2020,10/08/2020,41,10,4,2020,2914.87,3060.61
CTR,212,10/09/2020,10/09/2020,41,10,4,2020,7897.41,8285.53
CTR,212,10/10/2020,10/10/2020,41,10,4,2020,3618.28,3799.21
CTR,212,10/11/2020,10/11/2020,42,10,4,2020,2531.43,2664.77
CTR,212,10/12/2020,10/12/2020,42,10,4,2020,721.56,769.6
CTR,212,10/13/2020,10/13/2020,42,10,4,2020,2469.9,2593.39
CTR,212,10/15/2020,10/15/2020,42,10,4,2020,3526.23,3702.55
CTR,212,10/16/2020,10/16/2020,42,10,4,2020,3406.55,3576.9
CTR,212,10/18/2020,10/18/2020,43,10,4,2020,5425.4,5696.68
CTR,212,10/20/2020,10/20/2020,43,10,4,2020,8845.81,9288.11
CTR,212,10/23/2020,10/23/2020,43,10,4,2020,8369.75,8773.49
CTR,212,10/25/2020,10/25/2020,44,11,4,2020,7276.06,7559.86
CTR,212,10/26/2020,10/26/2020,44,11,4,2020,6317.8,6676.21
CTR,212,10/30/2020,10/30/2020,44,11,4,2020,5441.39,5862.9
CTR,212,10/31/2020,10/31/2020,44,11,4,2020,7955.77,8353.59
CTR,212,11/01/2020,11/01/2020,45,11,4,2020,5860.19,6137.25
CTR,212,11/03/2020,11/03/2020,45,11,4,2020,3352.03,3519.62
CTR,212,11/07/2020,11/07/2020,45,11,4,2020,4473.64,4697.34
CTR,212,11/09/2020,11/09/2020,46,11,4,2020,3955.42,4190.67
CTR,212,11/10/2020,11/10/2020,46,11,4,2020,4496.21,4746.78
CTR,212,11/14/2020,11/14/2020,46,11,4,2020,6281.22,6595.3
CTR,212,11/15/2020,11/15/2020,47,11,4,2020,1880.35,1974.37
CTR,212,11/17/2020,11/17/2020,47,11,4,2020,1792.61,1882.24
CTR,212,11/19/2020,11/19/2020,47,11,4,2020,3590.51,3770.04
CTR,212,11/21/2020,11/21/2020,47,11,4,2020,1904.98,2035.7
CTR,212,11/27/2020,11/27/2020,48,12,4,2020,4131.28,4337.87
CTR,212,11/28/2020,11/28/2020,48,12,4,2020,2393.99,2513.69
CTR,212,11/30/2020,11/30/2020,49,12,4,2020,1308.63,1374.06
CTR,212,12/09/2020,12/09/2020,50,12,4,2020,338.84,355.78
CTR,212,12/10/2020,12/10/2020,50,12,4,2020,892.56,937.18
CTR,212,12/11/2020,12/11/2020,50,12,4,2020,1657.77,1740.67
CTR,212,12/12/2020,12/12/2020,50,12,4,2020,2299.92,2444.11
CTR,212,12/14/2020,12/14/2020,51,12,4,2020,3290.8,3455.36
CTR,212,12/15/2020,12/15/2020,51,12,4,2020,2403.71,2523.9
CTR,212,12/18/2020,12/18/2020,51,12,4,2020,991.85,1041.44
CTR,212,12/20/2020,12/20/2020,52,12,4,2020,1173.2,1231.85
CTR,212,12/21/2020,12/21/2020,52,12,4,2020,2326.34,2442.65
CTR,212,12/24/2020,12/24/2020,52,12,4,2020,3713.98,3899.68
CTR,212,12/28/2020,12/28/2020,53,12,4,2020,2021.98,2123.08
CTR,212,12/30/2020,12/30/2020,53,12,4,2020,2545.31,2672.59
CTR,212,01/03/2021,01/03/2021,1,1,1,2021,882.36,926.47
CTR,212,01/07/2021,01/07/2021,1,1,1,2021,2588.26,2717.68
CTR,212,01/08/2021,01/08/2021,1,1,1,2021,1486.73,1561.07
CTR,212,01/09/2021,01/09/2021,1,1,1,2021,1868.22,1961.64
CTR,212,01/10/2021,01/10/2021,2,1,1,2021,1682.17,1766.28
CTR,212,01/12/2021,01/12/2021,2,1,1,2021,1350.64,1409.99
CTR,212,01/14/2021,01/14/2021,2,1,1,2021,1343.23,1410.4
CTR,212,01/17/2021,01/17/2021,3,1,1,2021,1463.9,1537.09
CTR,212,01/19/2021,01/19/2021,3,1,1,2021,1021.66,1072.74
CTR,212,01/21/2021,01/21/2021,3,1,1,2021,1133.75,1190.44
CTR,212,01/23/2021,01/23/2021,3,1,1,2021,2262.25,2375.37
CTR,212,01/28/2021,01/28/2021,4,1,1,2021,2535.23,2662
CTR,212,01/29/2021,01/29/2021,4,1,1,2021,2436.19,2558
CTR,212,01/30/2021,01/30/2021,4,1,1,2021,3080.35,3234.37
CTR,212,02/01/2021,02/01/2021,5,2,1,2021,1779.04,1867.99
CTR,212,02/02/2021,02/02/2021,5,2,1,2021,1059.29,1112.26
CTR,212,02/03/2021,02/03/2021,5,2,1,2021,1604.37,1684.58
CTR,212,02/04/2021,02/04/2021,5,2,1,2021,2952.49,3100.12
CTR,212,02/06/2021,02/06/2021,5,2,1,2021,4847.87,5090.27
CTR,212,02/08/2021,02/08/2021,6,2,1,2021,7490.71,7865.27
CTR,212,02/11/2021,02/11/2021,6,2,1,2021,5607.56,5933.77
CTR,212,02/12/2021,02/12/2021,6,2,1,2021,5487.97,5762.37
CTR,212,02/13/2021,02/13/2021,6,2,1,2021,8423.48,8844.66
CTR,212,02/14/2021,02/14/2021,7,2,1,2021,3331.84,3498.43
CTR,212,02/17/2021,02/17/2021,7,2,1,2021,1691.91,1768.71
CTR,212,02/18/2021,02/18/2021,7,2,1,2021,3800.04,3990.06
CTR,212,02/20/2021,02/20/2021,7,2,1,2021,2452.47,2575.08
CTR,212,02/23/2021,02/23/2021,8,2,1,2021,3205.85,3366.14
CTR,212,02/24/2021,02/24/2021,8,2,1,2021,3641.53,3823.61
CTR,212,02/26/2021,02/26/2021,8,2,1,2021,2866.12,3009.43
CTR,212,02/28/2021,02/28/2021,9,3,1,2021,2692.85,2822.76
CTR,212,03/02/2021,03/02/2021,9,3,1,2021,2499.62,2624.62
CTR,212,03/04/2021,03/04/2021,9,3,1,2021,2547.79,2653.64
CTR,212,03/05/2021,03/05/2021,9,3,1,2021,2209.81,2341.86
CTR,212,03/07/2021,03/07/2021,10,3,1,2021,1609.96,1690.45
CTR,212,03/08/2021,03/08/2021,10,3,1,2021,3058.31,3211.23
CTR,212,03/11/2021,03/11/2021,10,3,1,2021,1346.65,1413.99
CTR,212,03/12/2021,03/12/2021,10,3,1,2021,3277.19,3441.04
CTR,212,03/14/2021,03/14/2021,11,3,1,2021,1807.41,1897.78
CTR,212,03/15/2021,03/15/2021,11,3,1,2021,2246.52,2358.85
CTR,212,03/16/2021,03/16/2021,11,3,1,2021,2776.65,2915.49
CTR,212,03/20/2021,03/20/2021,11,3,1,2021,1238.15,1300.06
CTR,212,03/21/2021,03/21/2021,12,3,1,2021,3018.13,3169.03
CTR,212,03/22/2021,03/22/2021,12,3,1,2021,1127.27,1183.64
CTR,212,03/23/2021,03/23/2021,12,3,1,2021,3848.53,3992.15
CTR,212,03/25/2021,03/25/2021,12,3,1,2021,2843.34,3034.39
CTR,212,03/29/2021,03/29/2021,13,3,1,2021,566.59,594.92
CTR,212,03/30/2021,03/30/2021,13,3,1,2021,3080.16,3234.18
CTR,212,04/02/2021,04/02/2021,13,3,1,2021,1309.91,1375.41
CTR,212,04/03/2021,04/03/2021,13,3,1,2021,3490.72,3700.59
CTR,212,04/04/2021,04/04/2021,14,4,2,2021,1106.26,1161.57
CTR,212,04/06/2021,04/06/2021,14,4,2,2021,2796.5,2910.86
CTR,212,04/07/2021,04/07/2021,14,4,2,2021,2973.07,3121.73
CTR,212,04/08/2021,04/08/2021,14,4,2,2021,3872.45,4091.51
CTR,212,04/09/2021,04/09/2021,14,4,2,2021,5523.01,5795.75
CTR,212,04/11/2021,04/11/2021,15,4,2,2021,2681.54,2815.62
CTR,212,04/13/2021,04/13/2021,15,4,2,2021,4387.69,4607.09
CTR,212,04/14/2021,04/14/2021,15,4,2,2021,4736.71,4937.55
CTR,212,04/17/2021,04/17/2021,15,4,2,2021,2224.45,2335.67
CTR,212,04/18/2021,04/18/2021,16,4,2,2021,1231.29,1292.85
CTR,212,04/19/2021,04/19/2021,16,4,2,2021,4342.58,4536
CTR,212,04/21/2021,04/21/2021,16,4,2,2021,3283.59,3471.48
CTR,212,04/24/2021,04/24/2021,16,4,2,2021,3895.18,4089.95
CTR,212,04/29/2021,04/29/2021,17,4,2,2021,542.45,569.57
CTR,212,05/02/2021,05/02/2021,18,5,2,2021,1219.95,1280.95
CTR,212,05/05/2021,05/05/2021,18,5,2,2021,3863.53,4056.72
CTR,212,05/06/2021,05/06/2021,18,5,2,2021,4897.42,5142.29
CTR,212,05/10/2021,05/10/2021,19,5,2,2021,2261.96,2375.06
CTR,212,05/11/2021,05/11/2021,19,5,2,2021,4711.53,4947.12
CTR,212,05/12/2021,05/12/2021,19,5,2,2021,3490.57,3602.16
CTR,212,05/13/2021,05/13/2021,19,5,2,2021,3703.22,3956.26
CTR,212,05/17/2021,05/17/2021,20,5,2,2021,2707.17,2834.76
CTR,212,05/22/2021,05/22/2021,20,5,2,2021,4862.12,5098.47
CTR,212,05/28/2021,05/28/2021,21,5,2,2021,3280.86,3444.92
CTR,212,05/29/2021,05/29/2021,21,5,2,2021,2797.02,2936.86
CTR,212,05/30/2021,05/30/2021,22,6,2,2021,907.82,953.21
CTR,212,06/01/2021,06/01/2021,22,6,2,2021,2911.01,3053.95
CTR,212,06/03/2021,06/03/2021,22,6,2,2021,4353.58,4571.25
CTR,212,06/06/2021,06/06/2021,23,6,2,2021,1555.01,1632.76
